Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0.8051392240700196,0.987934084293947,0.01743219007706908,0.003073257707123286,0.07186938976832853,0.8399004596571293,-0.756493184944219
0.8053111623710387,0.9879464633150413,0.017576036776203823,0.0029430900510013227,0.07212333935645089,0.8333488467182139,-0.7576154738374311
0.8054846003013421,0.9879589940055302,0.017720003677858313,0.0028115977590164303,0.07237333743319,0.8268190503243812,-0.7586766054244358
0.8056595567608394,0.9879716778041616,0.017864090593262178,0.0026787738425825365,0.07261943102887428,0.8203116025278944,-0.7596773202585401
0.8058360509978926,0.9879845161795172,0.018008297441238972,0.002544611135911651,0.07286166736111598,0.8138270125846917,-0.7606183598655882
0.806014102358578,0.9879975106118954,0.018152624038493197,0.0024091024878426467,0.07310009345244055,0.8073657766602581,-0.761500464920706
0.8061937304373273,0.9880106626042645,0.01829707022117877,0.002272240649097856,0.07333475631721131,0.800928372558661,-0.7623243757780347
0.8063749550105845,0.9880239736774636,0.018441635788307598,0.0021340183243704113,0.07356570284689143,0.7945152624868356,-0.7630908318024432
0.8065577960716279,0.9880374453727736,0.018586320527519542,0.001994428147497412,0.07379297983342117,0.788126892124687,-0.7638005712354743
0.8067422737454498,0.9880510792456542,0.018731124145817787,0.0018534627482019916,0.07401663384352039,0.7817636938960618,-0.7644543305984288
0.8069284084910052,0.9880648768806988,0.018876046426449966,0.0017111145993290717,0.07423671144486026,0.7754260802882974,-0.7650528451549963
0.8071162209754351,0.9880788398824304,0.019021087125882193,0.001567376114525208,0.07445325902383824,0.7691144486572636,-0.7655968480974475
0.8073057320018363,0.9880929698699243,0.019166245916483297,0.0014222397053981427,0.07466632268645979,0.7628291839285102,-0.7660870701250411
0.8074969627154142,0.9881072684921828,0.019311522542607894,0.0012756976255044762,0.0748759484735408,0.7565706520543543,-0.7665242397595295
0.8076899343822255,0.9881217374116733,0.01945691664831037,0.001127742141611726,0.07508218209156854,0.7503392077154835,-0.7669090825169873
0.8078846686565913,0.9881363783243788,0.019602427977054426,0.000978365330600901,0.075285069183615,0.7441351859761594,-0.7672423212480697
0.8080811873093218,0.9881511929394692,0.019748056163647592,0.0008275592897064115,0.07548465501802094,0.7379589114566918,-0.7675246753426839
0.8082795124401014,0.9881661829952827,0.019893800890657485,0.0006753159755702965,0.0756809846940483,0.731810691891745,-0.7677568608993321
0.8084796663273752,0.9881813502480523,0.02003966177399658,0.0005216273213843754,0.07587410297061005,0.7256908232338178,-0.7679395902847808
0.8086816716264479,0.9881966964869391,0.020185638504684453,0.00036648508680033965,0.07606405444183509,0.7195995839403079,-0.7680735721279895
